"Id","Name & Model","Year","Mileage","The Price"
1,"INFINITI Q50",2018,32934.0,26999.0
2,"Toyota Camry",2018,48635.0,16999.0
3,"INFINITI Q50",2018,46270.0,21999.0
4,"Kia Optima",2019,23907.0,15999.0
5,"Lexus ES",2018,29464.0,25999.0
6,"Ford Super Duty F-250",2019,66862.0,41467.0
7,"Hyundai Elantra",2018,45952.0,13480.0
8,"Lexus IS",2016,46586.0,20299.0
9,"Nissan Altima",2016,86651.0,10999.0
10,"Mercedes-Benz C-Class",2018,15415.0,28999.0
11,"Mercedes-Benz E-Class",2018,42585.0,31480.0
12,"Ram 1500",2020,14053.0,39999.0
13,"Lexus RX",2018,46235.0,34999.0
14,"Lexus NX",2018,30967.0,27980.0
15,"Honda Accord",2014,71738.0,13999.0
16,"Lexus RX",2016,27746.0,29230.0
17,"Honda Accord",2018,21351.0,21699.0
18,"Toyota RAV4",2018,53627.0,19999.0
19,"Toyota Camry",2018,17703.0,21580.0
20,"Honda CR-V",2017,13739.0,24999.0
21,"Kia Soul",2016,24901.0,11999.0
22,"Lexus IS",2015,27040.0,24230.0
23,"Dodge Charger",2020,14210.0,23980.0
24,"Lexus NX",2018,24319.0,26999.0
25,"Lexus NX",2019,21308.0,28999.0
26,"Dodge Grand Caravan",2014,98431.0,8999.0
27,"BMW X3",2018,20973.0,31999.0
28,"Toyota RAV4",2018,22776.0,20499.0
29,"Tesla Model S",2018,10271.0,61999.0
30,"Kia Optima",2016,45956.0,12999.0
31,"INFINITI QX30",2017,41654.0,19999.0
32,"Dodge Charger",2018,17859.0,32999.0
33,"Chevrolet Camaro",2017,1106.0,27999.0
34,"Land Rover Range Rover Velar",2018,23366.0,57999.0
35,"Mercedes-Benz GLS",2018,30889.0,64999.0
36,"Alfa Romeo Giulia",2018,25265.0,25999.0
37,"Chevrolet Traverse",2011,171500.0,8995.0
38,"Volvo XC90",2020,14779.0,48499.0
39,"BMW 3 Series",2019,8263.0,34499.0
40,"Audi A5",2018,30533.0,30467.0
41,"Audi S4",2019,19331.0,45499.0
42,"Ford F-150",2017,81330.0,32999.0
43,"Mazda Mazda6",2020,1521.0,30499.0
44,"Ford Expedition",2019,46271.0,36995.0
45,"Alfa Romeo Stelvio",2020,537.0,37999.0
46,"Audi S5",2018,35954.0,41999.0
47,"FIAT 500",2017,30236.0,10999.0
48,"Hyundai Tucson",2018,31745.0,18999.0
49,"Toyota Tacoma",2017,43887.0,25999.0
50,"Jeep Wrangler",2019,19802.0,42999.0
51,"Jeep Wrangler",2017,36310.0,35999.0
52,"Audi Q7",2018,41366.0,41999.0
53,"Subaru WRX",2015,29578.0,30499.0
54,"Tesla Model 3",2019,12404.0,38499.0
55,"Mercedes-Benz A-Class",2019,14414.0,31499.0
56,"BMW X5",2016,39255.0,29999.0
57,"GMC Sierra 1500",2019,16571.0,51999.0
58,"Audi Q7",2018,31033.0,39999.0
59,"BMW 5 Series",2019,14866.0,40999.0
60,"Audi Q3",2017,44498.0,22999.0
61,"Jeep Wrangler",2015,45416.0,34499.0
62,"Nissan JUKE",2014,60214.0,11999.0
63,"Acura RDX",2018,21779.0,28999.0
64,"Chevrolet Silverado 1500",2020,4960.0,52999.0
65,"Ford Super Duty F-250",2017,27276.0,64999.0
66,"Land Rover Discovery Sport",2019,5591.0,39499.0
67,"Land Rover Range Rover Sport",2018,49750.0,54999.0
68,"BMW i3",2015,49004.0,14999.0
69,"BMW 5 Series",2019,14866.0,40999.0
70,"Jeep Wrangler",2019,18643.0,36999.0
71,"Ram 1500",2020,5693.0,44999.0
72,"Nissan Titan",2017,28284.0,36999.0
73,"BMW 3 Series",2017,24233.0,21999.0
74,"Maserati Levante",2017,28947.0,50999.0
75,"Jeep Renegade",2017,38050.0,19999.0
76,"Lexus ES",2020,4732.0,43180.0
77,"Nissan Rogue Sport",2020,5715.0,21999.0
78,"Lexus NX",2020,21316.0,34999.0
79,"Cadillac CT6",2017,51257.0,30999.0
80,"Mazda CX-5",2019,25703.0,24999.0
81,"GMC Terrain",2019,32333.0,30499.0
